,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
6051,Parrot Heads,(2017),"
Documentary, Music            ",6.5,"
An in depth look at the world of Parrot Heads, the loyal fan base of Jimmy Buffett.","
    Director:
Bryce Wagoner
|
    Stars:
Jimmy Buffett,
Matt Corcoran,
Stephen L.J. Hoffman,
Michael Holly
",65,88.0,
7260, Power Rangers Beast Morphers,(2019–2020),"
Action, Adventure, Drama            ",8.6,"
When Nate and Steel unexpectedly clash, it leads to double trouble for the team.","
    Director:
Riccardo Pellizzeri
|
    Stars:
Rorrie D. Travis,
Jasmeet Baduwalia,
Jacqueline Scislowski,
Abraham Rodriguez
",32,,
9578, The Drew Barrymore Show,(2020– ),"
Talk-Show            ",,"
Daddy Issues with Joe Buck and Oliver Hudson host, Oliver Hudson, will stops by to be chat. Then The United States vs. Billie Holiday (2021) star Evan Ross and his wife musician Ashlee ...                See full summary »
","
    Director:
Adam Heydt
|
    Stars:
Drew Barrymore,
Ross Mathews,
Oliver Hudson,
Ashlee Simpson
",,44.0,
5857,Zhong ji san guo,(2009–2010),"
Comedy            ",5.3,"
Lifelong friends, Guan Yu (George Hu) and Zhang Fei (David Bo-Yen Lin), who have gotten kicked out of one school after another for starting fights, find themselves hard pressed to find a ...                See full summary »
","

    Stars:
Monkey Shao,
George Hu,
Jiro Wang,
Shu Chen
",44,75.0,
3489,Johan Falk: Blodsdiamanter,(2015 Video),"
Action, Crime, Thriller            ",7.1,"
GSI (Group of Special Investigations) investigates a weapon deal made by the mafia. GSI sends in an undercover agent to investigate what the mafia is up to. At the same time Johan Falk confronts a mysterious woman who threatens his family.","
    Director:
Peter Lindmark
|
    Stars:
Jakob Eklund,
Jens Hultén,
Alexander Karim,
Christian Svensson
","1,751",99.0,
4620,Lego Bionicle: The Journey to One,(2016),"
Animation, Action, Adventure            ",5.5,"
Six heroes, the Toa, fight against the evil Makuta's forces which are threatening the beautiful island of Okoto.","

    Stars:
William Jordan,
Nolan Balzer,
Paolo Bryant,
Jacqui Fox
",157,22.0,
4468,Emicida: AmarElo - Ao Vivo,(2021),"
Music            ",6.5,"
Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo.""","
    Director:
Fred Ouro Preto
|
    Star:
Emicida
",22,99.0,
4813,Los Herederos,(2015),"
Drama            ",5.7,"
Teenagers' leisure at full swing: a group of friends spend their holidays at parties, having sex, boozing, and partaking in any adventure that brings them a boost of adrenaline. As they use...                See full summary »
","
    Director:
Jorge Hernandez Aldana
|
    Stars:
Máximo Hollander,
Sebastián Aguirre,
Úrsula Pruneda,
Rodrigo Mendoza
",205,,
3563,All About The Washingtons,(2018),"
Comedy, Music            ",4.5,"
The wife of a legendary rapper launches her own career, which puts his life into a tailspin.","

    Stars:
Joseph Simmons,
Justine Simmons,
Kiana Ledé,
Nathan Anderson
",653,25.0,
4547,Robozuna,(2018– ),"
Animation            ",6.3,"
An orphan boy and his homemade robot friend work to free their country from an evil empire and its legion of robots.","

    Stars:
Michael Obiora,
Tom Clarke Hill,
Taylor Clarke-Hill,
Luke Howard
",80,22.0,
2978,Pretty Smart,,"
Comedy            ",,"
A self-proclaimed intellectual, forced to move in with her carefree sister and her sister's lovably eccentric friends.","

    Stars:
Cinthya Carmona,
Olivia Macklin,
Emily Osment,
Michael Hsu Rosen
",,,
4833,Charlie and the Chocolate Factory,,"
Animation, Adventure, Comedy            ",,"
Animated series based on Roald Dahl's classic tale of a boy trying to win a magical ticket to visit his favorite candy factory.","
",,,
9236, Bir Baskadir,(2020– ),"
Drama, Thriller            ",8.1,"
Ruhiye's condition deteriorates under Yasin's maltreatment. Peri crosses paths with Melisa. Meryem broaches a sensitive subject with Peri.","
    Director:
Berkun Oya
|
    Stars:
Öykü Karayel,
Fatih Artman,
Funda Eryigit,
Defne Kayalar
",635,47.0,
3716,Einsatzgruppen: The Nazi Death Squads,(2009),"
Documentary, History, War            ",7.6,"
Testimony from witnesses, survivors and Nazis themselves reveals the truth about the mass executions carried out by the Third Reich's Einsatzgruppen.","

    Stars:
Christopher Browning,
Christian Ingrao,
Paul Bandey,
Regina Jablonska
",544,45.0,
8064, The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",7.7,"
A bully steals the chain that signifies Riley's membership in Thugnificent's crew, prompting various attempts by Riley to get it back.","
    Director:
Dan Fausett
|
    Stars:
Regina King,
John Witherspoon,
Cedric Yarbrough,
Gary Anthony Williams
",207,23.0,
753,CHIPS,(2017),"
Action, Comedy, Crime            ",6.0,"
A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.","
    Director:
Dax Shepard
|
    Stars:
Michael Peña,
Dax Shepard,
Vincent D'Onofrio,
Rosa Salazar
","44,487",100.0,$18.60M
8801, Cyberpunk: Edgerunners,(2022– ),"
Animation, Action, Adventure            ",,"
Add a Plot
","
",,,
6029,Liss Pereira: Reteniendo Liquidos,(2019 TV Special),"
Comedy            ",6.4,"
Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.","

    Star:
Liss Pereira
",86,,
7823, Inventing Anna,(2021– ),"
Drama            ",,"
Add a Plot
","
    Directors:
David Frankel,
Tom Verica
|
    Stars:
Laverne Cox,
Julia Garner,
Anna Chlumsky,
Tim Guinee
",,,
2690,Ninguém Tá Olhando,(2019),"
Comedy, Drama, Fantasy            ",7.8,"
Guardian angel Uli is new to the Angelus System. A rebel spirit, he makes shocking discoveries about life and how the world is run when he goes rogue.","

    Stars:
Victor Lamoglia,
Júlia Rabello,
Kéfera Buchmann,
Augusto Madeira
","1,590",,
9691, I [Heart] Arlo,(2021– ),"
Animation, Short, Adventure            ",,"
Add a Plot
","

    Star:
Michael J. Woodard
",,,
5678,Lucas Brothers: On Drugs,(2017 TV Special),"
Comedy            ",5.6,"
Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.","
    Director:
Jay Chapman
|
    Stars:
Keith Lucas,
Kenneth Lucas
",806,50.0,
4060,La Tarotista,(2021),"
Short, Comedy, Talk-Show            ",7.6,"
Add a Plot
","
    Director:
Martina Hache
|
    Stars:
Yolanda Ramos,
Omar Ayuso,
Martina Cariddi,
Mario Casas
",12,,
4952,Hallo Bungalow,(2015),"
Comedy            ",4.9,"
In park ""De Lusthove"" there are three women who are leading a boring life. They decide to blackmail their boss so that they will get money to start a new life. Their boss however hires two killers. The women will have to fight to survive.","
    Director:
Anne de Clercq
|
    Stars:
Huub Smit,
Jennifer Hoffman,
Eva van der Gucht,
Lies Visschedijk
",289,91.0,
4669,Assassin's Creed,,"
Action, Adventure, Drama            ",,"
Plot Under Wraps.","
",,,
3224,44 Gatti,(2018– ),"
Animation, Adventure, Comedy            ",6.1,"
44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.","

    Stars:
Judith Cabral,
Sarah Natochenny,
Keira Johnson,
Joy Salaretti
",238,13.0,
3206,7 años,(2016),"
Drama            ",6.8,"
Four friends face an agonizing decision. One must go to prison. The other three must make the sacrifice worthwhile.","
    Director:
Roger Gual
|
    Stars:
Juana Acosta,
Alex Brendemühl,
Paco León,
Manuel Morón
","4,660",77.0,
2347,Rebel Moon,,"
Adventure, Drama, Fantasy            ",,"
The people of a galaxy sends a young woman to seek out warriors from other planets to help them from the tyrannical armies that are terrorizing their peaceful colony.","
    Director:
Zack Snyder
",,,
4239,ReMastered: The Two Killings of Sam Cooke,(2019 TV Movie),"
Documentary, Music            ",7.3,"
An investigation into the circumstances and controversy surrounding Sam Cooke's murder.","
    Director:
Kelly Duane
|
    Stars:
Sam Cooke,
Quincy Jones,
Smokey Robinson,
Dionne Warwick
","2,041",74.0,
2330,Carmel: ¿Quién mató a María Marta?,(2020),"
Documentary, Crime, Mystery            ",7.1,"
Documentary series on the circumstances surrounding the death of María Marta García Belsunce, one of the most controversial criminal cases in Argentina.","

    Stars:
Rolando Barbano,
Carlos Carrascosa,
Pablo Duggan,
Horacio García Belsunce
","1,979",229.0,
6617, Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",8.7,"
Central 46 is the highest judicial body in the Soul Society. After breaking into Central 46, Captain Hitsugaya and Vice-Captain Matsumoto discover that the forty Sages and six Judges were slaughtered days earlier.","
    Directors:
Noriyuki Abe,
Kumi Ichiguchi
|
    Stars:
Fumiko Orikasa,
Show Hayami,
Kôji Yusa,
Romi Pak
",168,24.0,
4259,"Ram Dass, Going Home",(2017),"
Documentary, Short            ",7.1,"
A profound and poetic encounter with cultural and spiritual icon Ram Dass, at his home on Maui toward the end of his life.","
    Director:
Derek Peck
",863,31.0,
3307,Upstate,(V),"
Comedy            ",,"
Plot kept under wraps.","

    Star:
Ryan Reynolds
",,,
4858,Ritoru wicchi akademia: Mahoujihikake no parêdo,(2015),"
Animation, Comedy, Family            ",7.3,"
When Akko and other troubled students at Luna Nova are assigned to manage the annual witch hunt parade, Akko wants to make the event more positive.","
    Director:
Yô Yoshinari
|
    Stars:
Megumi Han,
Fumiko Orikasa,
Michiyo Murase,
Yôko Hikasa
","1,571",54.0,
1489,Gedo senki,(2006),"
Animation, Adventure, Fantasy            ",6.4,"
In a mythical land, a man and a young boy investigate a series of unusual occurrences.","
    Director:
Gorô Miyazaki
|
    Stars:
Timothy Dalton,
Willem Dafoe,
Mariska Hargitay,
Jun'ichi Okada
","37,082",115.0,$0.05M
4030,Yummy Mummies,(2017– ),"
Reality-TV            ",4.1,"
Four women make lavish preparations for their new arrivals. From bouquets of money to horse-drawn carriages and opulent baby showers, their spending knows no bounds.","
",623,40.0,
388,Full House,(1987–1995),"
Comedy, Drama, Family            ",6.7,"
A widowed broadcaster raises his three daughters with assistance from his rock'n'roll brother-in-law and his madcap best friend.","

    Stars:
Bob Saget,
John Stamos,
Dave Coulier,
Candace Cameron Bure
","54,419",22.0,
5680,Vir Das: Losing It,(2018 TV Special),"
Comedy            ",7.1,"
Losing It is a Vir Das Journey of Africa , India and America and religions. He touches many topics with audience laughing throughout.","
    Director:
Marcus Raboy
|
    Star:
Vir Das
","1,140",67.0,
7751, Snowpiercer,(2020– ),"
Action, Drama, Sci-Fi            ",7.7,"
Melanie embarks on her most dangerous mission yet, while Layton reckons with his personal choices.","
    Director:
David Frazee
|
    Stars:
Jennifer Connelly,
Daveed Diggs,
Mickey Sumner,
Alison Wright
",881,45.0,
5088,Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,(2014),"
Animation, Adventure, Family            ",7.5,"
Shimajiro and his friends discover an injured whale and Gaogao helps it out, they later go underwater to find the whale mother and the fish in the ocean and encounters a giant crab.","
    Directors:
Hiroshi Kawamata,
Young Kyun Park,
Isamu Hirabayashi
|
    Stars:
Omi Minami,
Miki Takahashi,
Takumi Yamazaki,
Saori Sugimoto
",12,,
7218, 7Seeds,(2019–2020),"
Animation, Action, Adventure            ",7.5,"
Hana becomes convinced that Ango will kill her if she stays in the village. Natsu and the others make landfall near the former Autumn settlement.","

    Stars:
Bryson Baugus,
Morgan Berry,
Clint Bickham,
Amber Lee Connors
",32,24.0,
3121,Reipu zonbi: Lust of the dead,(2012),"
Horror            ",3.8,"
After a nuclear attack in Tokyo, the female population is attacked by infected males who have become sex-crazed zombies, hungry for human flesh. Officeworker Momoko and nurse Nozomi seek ...                See full summary »
","
    Director:
Naoyuki Tomomatsu
|
    Stars:
Rina Aikawa,
Yui Aikawa,
Kazuyoshi Akishima,
Asami
",819,73.0,
6477, Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",8.0,"
In a nearby Earth Village, the gang meets a teenage earthbender named Haru. This village lives in fear of the Fire Nation, for soldiers there capture any earthbenders they can find.","
    Director:
Dave Filoni
|
    Stars:
Zach Tyler,
Mae Whitman,
Jack De Sena,
Dee Bradley Baker
","3,229",25.0,
3473,Ladies First,(2017),"
Documentary, Short, Sport            ",7.2,"
An inspirational survival story of Deepika Kumari who, as a girl born on the roadside to abject poverty in rural India, went in search of food, stumbled upon archery, and within 4 years became the Number One archer in the World.","
    Director:
Uraaz Bahl
",433,39.0,
6612, Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",8.5,"
Ichigo, Ganju and Hanatarô climb the great staircase of the Senzaikyu--the White Tower--only to sense an unprecedented amount of reiatsu.","
    Directors:
Noriyuki Abe,
Shigeki Hatakeyama
|
    Stars:
Masakazu Morita,
Fumiko Orikasa,
Shirô Saitô,
Show Hayami
",188,24.0,
2521,Super Wings!,(2015– ),"
Animation, Adventure, Family            ",6.1,"
A jet plane named Jett travels the world delivering packages to children and solving problems with his friends the Super Wings.","

    Stars:
Luca Padovan,
Hudson Loverro,
Chasden Gilson-Walker,
Jamie Sara Lewis
",287,15.0,
7808, Magic for Humans,(2018– ),"
Comedy, Reality-TV            ",7.2,"
Ho ho ho. Justin embraces the holiday spirit and visits Santa school, gets playful with Susan Sarandon and teaches kids about the magic of giving.","
    Director:
Adam Franklin
|
    Stars:
Justin Willman,
Susan Sarandon,
Harrison Taylor,
Zoey Gale
",79,,
4708,Untitled Spotify Project,(2022– ),"
Drama            ",,"
How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.","

    Stars:
Edvin Endre,
Gizem Erdogan,
Christian Hillborg,
Severija Janusauskaite
",,45.0,
5457,Marc Maron: Thinky Pain,(2013 TV Special),"
Comedy            ",7.3,"
Marc Maron returns to his old stomping grounds for an intimate special in which he takes stock of himself. More than ever, Maron is raw and hilariously honest as he dissects his own ...                See full summary »
","
    Director:
Lance Bangs
|
    Stars:
Marc Maron,
Sam Lipsyte,
Tom Scharpling
","1,798",95.0,
507,Rampage,(2018),"
Action, Adventure, Sci-Fi            ",6.1,"
When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.","
    Director:
Brad Peyton
|
    Stars:
Dwayne Johnson,
Naomie Harris,
Malin Akerman,
Jeffrey Dean Morgan
","151,688",107.0,$101.03M
6183,The Comedians of Comedy: Live at the El Rey,(2006 Video),"
Comedy            ",6.6,"
Add a Plot
","
    Director:
Michael Blieden
|
    Stars:
Patton Oswalt,
Brian Posehn,
Maria Bamford,
Blaine Capatch
",190,58.0,
5988,Being Mrs Elliot,(2014),"
Comedy, Romance            ",6.5,"
It is a love story that shows love can happen in unexpected places.","
    Director:
Omoni Oboli
|
    Stars:
Perpetua Adefemi,
Lawal Adekunle,
Tomi Adeoye,
Seun Akindele
",16,113.0,
3273,Mutants,(2009),"
Drama, Horror, Sci-Fi            ",5.6,"
In the middle of a zombie apocalypse, a resourceful couple hides out in an isolated abandoned building. The woman is pregnant and the man is infected, slowly transforming into the kind of inhuman monster they are trying to escape.","
    Director:
David Morlet
|
    Stars:
Hélène de Fougerolles,
Francis Renaud,
Dida Diafat,
Marie-Sohna Condé
","4,007",95.0,
2416,Tiempo compartido,(2018),"
Drama, Mystery, Thriller            ",6.0,"
Two haunted family men join forces in a destructive crusade to rescue their families from a tropical paradise, after becoming convinced that an American timeshare conglomerate has a sinister plan to take their loved ones away.","
    Director:
Sebastián Hofmann
|
    Stars:
Luis Gerardo Méndez,
Miguel Rodarte,
RJ Mitte,
Cassandra Ciangherotti
","2,528",96.0,
4113,Sensei wo Kesu Houteishiki,(2020),"
Mystery, Thriller            ",4.8,"
Teichi Gakuen is an advanced school in Tokyo with a high rate of students going on to the University of Tokyo. The 3rd year ""D"" group of students has an excellent academic record. However ...                See full summary »
","

    Stars:
Ikuho Akiya,
Riko Kawase,
Sayu Kubota,
Marika Matsumoto
",42,24.0,
4374,Doris,(I) (2018),"
Comedy            ",6.1,"
Recently divorced, Doris, in her forties, lives in Amsterdam with her two teen-agers. Ever since her ex-husband has remade his life, she has been dreaming of Tim, her lifelong best friend. ...                See full summary »
","
    Director:
Albert Jan van Rees
|
    Stars:
Tjitske Reidinga,
Guy Clemens,
Hendrikje Nieuwerf,
Tarik Moree
",538,89.0,
8480, Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",6.5,"
After the teams finds an exhausted Piplup, they set out for Snowpoint City in the Sinnoh region to reunite it with its trainer. Team Rocket follows.","

    Stars:
Sarah Natochenny,
Zeno Robinson,
Casey Mongillo,
Cherami Leigh
",47,21.0,
164,Archer,(2009– ),"
Animation, Action, Comedy            ",8.6,"
Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.","

    Stars:
H. Jon Benjamin,
Judy Greer,
Amber Nash,
Chris Parnell
","141,784",22.0,
9939, La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",,"
Add a Plot
","
",,,
4273,Dragon Pilot: Hisone and Masotan,(2018),"
Animation, Fantasy, Sci-Fi            ",6.9,"
When a young girl with a personality disorder meets a dragon, her life is set on a new course. To learn how to fly this dragon and work on her disorder (to accidentally say innocent things ...                See full summary »
","

    Stars:
Misaki Kuno,
Tomoyo Kurosawa,
Matsunojo Kanda,
Yûki Kaji
",450,30.0,
6412,Aguacate El Fruto Del Cielo,(2021),"
Documentary            ",,"
Add a Plot
","
    Director:
Victor Solorio
|
    Stars:
Damián Alcázar,
Lorena de la Torre,
Alex Pimienta
",,,
8670, Élite,(2018– ),"
Crime, Drama, Thriller            ",7.0,"
Phillippe worries that his friends are using him for Ambar Lucid performance tickets. Rebe warns Mencía she feels skeptical about Armando's assistance.","

    Stars:
Itzan Escamilla,
Miguel Bernardeau,
Arón Piper,
Claudia Salas
",552,40.0,
4424,The Bad Kids,(2016),"
Documentary            ",7.0,"
A group of teachers at a Mojave Desert high school take an unconventional approach to improve the lives of their struggling students.","
    Directors:
Keith Fulton,
Louis Pepe
|
    Stars:
Vonda Viland,
Julia Alexander,
Laura Ambrosius,
Robert Bartz
",612,101.0,$0.00M
8339, Hyena,(2020– ),"
Drama, Romance            ",7.8,"
Add a Plot
","
    Director:
Tae You Chang
|
    Stars:
Ju Ji-Hoon,
Kim Hye-su,
Lee Kyung-young,
Jun Suk-ho
",11,,
4394,The Bling Lagosians,(2019),"
Drama            ",6.5,"
As each member of the Holloway family work to solve their problems, they prepare for Mopelola's party, clearly to become the year's biggest society event. But the buzz about the party ...                See full summary »
","
    Director:
Bolanle Austen-Peters
|
    Stars:
Gbenga Titiloye,
Elvina Ibru,
Osas Ighodaro,
Sharon Ooja
",82,97.0,
7073, Dead to Me,(2019– ),"
Comedy, Crime, Drama            ",7.9,"
As Jen and Judy grapple with the distressing events of the night before, Jen soon realizes that eyes, and ears, are everywhere in her neighborhood.","
    Director:
Liza Johnson
|
    Stars:
Christina Applegate,
Linda Cardellini,
James Marsden,
Sam McCarthy
","1,129",31.0,
2481,Thus Spoke Kishibe Rohan,(2017–2021),"
Animation, Action, Adventure            ",7.7,"
A popular manga creator becomes enmeshed in paranormal events while conducting research.","

    Stars:
Landon McDonald,
Bob Carter,
Brittany Cox,
Skyler Davenport
",673,97.0,
9700, Last Chance U: Basketball,(2021– ),"
Documentary, Sport            ",8.2,"
Add a Plot
","
    Directors:
Adam Leibowitz,
Daniel George McDonald,
Greg Whiteley
",83,,
85,Jurassic Park,(1993),"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
|
    Stars:
Sam Neill,
Laura Dern,
Jeff Goldblum,
Richard Attenborough
","897,444",127.0,$402.45M
7906, Queen Sono,(2020–2021),"
Action, Crime, Drama            ",6.8,"
Add a Plot
","
    Director:
Kagiso Lediga
|
    Stars:
Pearl Thusi,
Connie Chiume,
Vuyo Dabula,
Kate Liquorish
",65,,
9178, 800 metros,(2021– ),"
Documentary            ",,"
Add a Plot
","
    Director:
León Siminiani
",,,
2923,The Fisherman's Diary,(2020),"
Drama            ",6.5,"
Ekah is determined to go to school in a village of fishermen where a girl child's education is considered a taboo. Her drive to break this old adage gets her embroiled with her father, Solomon's past.","
    Director:
Enah Johnscott
|
    Stars:
Kang Quintus,
Faith Fidel,
Cosson Chinopoh,
Ramsey Nouah
",480,143.0,
7764, Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",,"
Add a Plot
","

    Stars:
David Harbour,
Finn Wolfhard,
Millie Bobby Brown,
Sadie Sink
",,,
3247,Chomyeone Saranghamnida,(2019– ),"
Comedy, Romance            ",7.4,"
Do Min Ik is an intelligent, perfectionist man with a heart of stone , and the Chief of Team 1 at T&T Mobile Media who always relies on his secretary, the hot-tempered Jung Gal Hee. ...                See full summary »
","

    Stars:
Ki-joo Jin,
Kim Young-kwang,
Jung Ae-ri,
Han Ji-Sun
",788,35.0,
419,The Bureau of Magical Things,(2018– ),"
Family, Fantasy, Mystery            ",6.8,"
Teenage girl Kyra accidentally discovers an extraordinary world and gains magical powers; when an unexpected threat emerges, she must unite fairies, elves and humans to save them all.","

    Stars:
Kimie Tsukakoshi,
Elizabeth Cullen,
Mia Milnes,
Julian Cullen
","1,349",25.0,
7372, Power Rangers Beast Morphers,(2019–2020),"
Action, Adventure, Drama            ",8.5,"
When a movie star comes to town, the Rangers' secret identities are unexpectedly threatened.","
    Director:
Oliver Driver
|
    Stars:
Rorrie D. Travis,
Jasmeet Baduwalia,
Jacqueline Scislowski,
Abraham Rodriguez
",28,,
7365, Trinkets,(2019–2020),"
Comedy, Crime, Drama            ",7.7,"
An impromptu Thanksgiving gathering serves up a surprise guest, a secret romance, and a host of bittersweet memories for Elodie, Tabitha, and Moe.","
    Director:
Megan Griffiths
|
    Stars:
Brianna Hildebrand,
Kiana Madeira,
Quintessa Swindell,
Brandon Butler
",107,30.0,
8720, Power Rangers Beast Morphers,(2019–2020),"
Action, Adventure, Drama            ",8.3,"
When Zoey accidentally ruins her brother's chances for a scholarship, she'll do anything to make it right.","
    Director:
Oliver Driver
|
    Stars:
Rorrie D. Travis,
Jasmeet Baduwalia,
Jacqueline Scislowski,
Abraham Rodriguez
",19,,
1323,Secret Magic Control Agency,(2021),"
Animation, Adventure, Comedy            ",6.2,"
The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.","
    Director:
Aleksey Tsitsilin
|
    Stars:
Nicholas Corda,
Sylvana Joyce,
Alyson Leigh Rosenfeld,
Courtney Shaw
","2,848",103.0,
2659,Christmas on the Square,(2020),"
Comedy, Family, Musical            ",5.2,"
An embittered ""Scrooge"" of a woman plans to sell her small town, regardless of the consequences to the people who live there.","
    Director:
Debbie Allen
|
    Stars:
Dolly Parton,
Jenifer Lewis,
Josh Segarra,
Jeanine Mason
","2,239",98.0,
9645, Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",,"
Add a Plot
","

    Stars:
Ralph Macchio,
Courtney Henggeler,
Xolo Maridueña,
Tanner Buchanan
",,,
2186,Lady Dynamite,(2016–2017),"
Comedy            ",7.4,"
Series is based on what Maria has accepted to be ""her life."" The occasionally surreal episodes, refracted across multiple periods of the actor/comedian's life, tell the story of a woman who loses - and then finds - herself.","

    Stars:
Maria Bamford,
Fred Melamed,
Mary Kay Place,
Ana Gasteyer
","3,414",30.0,
5429,Exception,,"
Animation, Drama, Horror            ",,"
In the distant future, human beings have been forced to leave earth and migrate to another galaxy. An advanced team of spacecraft arrives at a planet that is to be terraformed. Each member of the team is output by a biological 3D printer.","
",,,
7013, La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro insists on meeting the newly arrived judge. Alberto finally finds what he's been looking for. Sol receives an unexpected visitor at the convent.","

    Stars:
Emmanuel Esparza,
Essined Aponte,
Manuel Navarro,
Álvaro Benet
",,,
134,The Serpent,(2021),"
Crime, Drama, Thriller            ",7.6,"
The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","

    Stars:
Tahar Rahim,
Billy Howle,
Jenna Coleman,
Ellie Bamber
","33,936",58.0,
5232,Mystery Girl,,"
Mystery            ",,"
Follows Trine who, living off the grid in Los Angeles as a street psychic, has no memory of who she is or where she came from but is guided by an omniscient voice in her head that knows everyone's business and everyone's darkest secrets.","
    Director:
McG
|
    Star:
Tiffany Haddish
",,,
181,Fast & Furious 7,(2015),"
Action, Adventure, Thriller            ",7.1,"
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
    Director:
James Wan
|
    Stars:
Vin Diesel,
Paul Walker,
Dwayne Johnson,
Jason Statham
","371,194",137.0,$353.01M
8115, Dynasty,(2017– ),"
Drama            ",7.8,"
With Alexis back, Blake works to reestablish himself; Fallon decides to expand her empire.","
    Director:
Brandi Bradburn
|
    Stars:
Elizabeth Gillies,
Daniella Alonso,
Elaine Hendrix,
Rafael de la Fuente
",187,42.0,
9493, Heartstopper,,"
Drama, Romance            ",,"
Add a Plot
","
    Director:
Euros Lyn
",,,
6330,Lord Put a Ring on It,(2016),"
Comedy, Drama            ",7.5,"
Romantic Christian comedy about navigating relationships - from being single looking for Mr. Right in all the wrong places and blended families navigating the challenges of becoming one ...                See full summary »
","
    Director:
Tikki Collins
|
    Stars:
Jabriah Anderson,
Calvin Collins,
Tikki Collins,
Donna Griggs
",21,94.0,
3058,Forbidden Ground,(2013),"
Action, Drama, War            ",4.9,"
Three British soldiers find themselves stranded in No Man's Land after a failed charge on the German Trenches. Set in France 1916.","
    Directors:
Johan Earl,
Adrian Powers
|
    Stars:
Johan Earl,
Tim Pocock,
Martin Copping,
Denai Gracie
","1,960",95.0,
6501, Johnny Test,(2005– ),"
Animation, Action, Adventure            ",7.4,"
After much begging and pleading, the girls finally get permission to have their first dance party with boys. / A group of extreme teens is causing havoc in Porkbelly and it gets personal ...                See full summary »
","
    Director:
Chris Savino
|
    Stars:
James Arnold Taylor,
Louis Chirillo,
Brittney Wilson,
Maryke Hendrikse
",52,22.0,
4043,3 Türken & ein Baby,(2015),"
Comedy            ",5.5,"
The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: ...                See full summary »
","
    Director:
Sinan Akkus
|
    Stars:
Kida Khodr Ramadan,
Eko Fresh,
Kostja Ullmann,
Sabrina Klüber
","1,646",95.0,
5224,Aluna,(2012),"
Documentary, Adventure            ",7.7,"
The leaders of of an ancient hidden civilization in South America want to show mankind how to avoid destroying the planet. They travel with an aging British film-maker and four hundred kilometres of gold thread to trace invisible connections in nature.","
    Director:
Alan Ereira
|
    Stars:
Mama Manuel Coronado,
Alan Ereira,
Francisca Zarabata,
Mama Shibulata Zarabata
",150,89.0,
1865,Spycraft,(2021),"
Documentary            ",6.7,"
Non fiction series about the tools of the trade. Based upon the book by Henry R. Schlesinger.","

    Stars:
Keith Melton,
Dylan Berry,
Robert Bigman,
Hamet Yousef
","1,496",271.0,
5671,Angel 'n' Devil,(2014–2015),"
Fantasy            ",4.9,"
At every turn, evil threatens to overtake good and rule the world. In a world known as the Copper Dimension, the K.O. Bad Girls are their last hope to fight off demons and other evil ...                See full summary »
","

    Stars:
Lucia Chen,
Teddy Chen,
Cosmos Lin,
Yu-Fei Wen
",33,50.0,
488,Henry Danger,(2014–2020),"
Action, Comedy, Family            ",5.7,"
Looking for a part-time job, 13-year-old Henry Hart finds himself helping super hero Captain Man as his sidekick, keeping the secret from his family and friends.","

    Stars:
Jace Norman,
Cooper Barnes,
Riele Downs,
Sean Ryan Fox
","3,933",30.0,
