,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
1685,Mirai no Mirai,(2018),"
Animation, Adventure, Drama            ",7.0,"
A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.","
    Director:
Mamoru Hosoda
| 
    Stars:
Rebecca Hall, 
Daniel Dae Kim, 
John Cho, 
Crispin Freeman
","13,651",98.0,$0.81M
744,Live by Night,(2016),"
Action, Crime, Drama            ",6.4,"
A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","
    Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina
","54,010",129.0,$10.38M
4491,We Are the Brooklyn Saints,(2021– ),"
Documentary, Sport            ",6.5,"
A documentary series following a youth football program in the heart of inner city East NY, Brooklyn. Geared towards boys 7-13 years old, the Brooklyn Saints program is more than a sport – it’s a family, and a vehicle for opportunity.","
",131,,
4721,Michael McIntyre: Showman,(2020 TV Special),"
Comedy            ",7.2,"
Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special.","
    Director:
Chris Howe
| 
    Star:
Michael McIntyre
",963,62.0,
1393,Top Chef,(2006– ),"
Game-Show, Reality-TV            ",7.6,"
A reality competition show in which chefs compete against one another in culinary challenges and are a judged by a panel of food and wine experts, with one or more contestants eliminated each episode.","
            
    Stars:
Tom Colicchio, 
Padma Lakshmi, 
Gail Simmons, 
Richard Blais
","5,774",44.0,
1521,Unsolved,(2018– ),"
Biography, Crime            ",7.9,"
A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.","
            
    Stars:
Josh Duhamel, 
Bokeem Woodbine, 
Wavyy Jonez, 
Marcc Rose
","7,032",60.0,
9984, The Last Kingdom,(2015– ),"
Action, Drama, History            ",,"
Add a Plot
","
    Director:
Paul Wilmshurst
| 
    Stars:
Alexander Dreymon, 
Emily Cox, 
Millie Brady, 
Eliza Butterworth
",,,
2576,Diamond City,(2020– ),"
Crime, Drama            ",7.1,"
A prominent prosecuting attorney must defend her innocence when she's set up and sent to prison as she investigates a conspiracy. Once a prosecutor, now a prisoner, she's having to learn the hard way how the system can fail.","
            
    Stars:
Nambitha Ben-Mazwi, 
Ilse Klink, 
Lehlohonolo Makoko, 
Makgano Mamabolo
",14,,
6544, Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.1,"
Aang receives guidance from Guru Pathik at the Eastern Air Temple; Sokka is reunited with his long-lost father; Princess Azula has something diabolical in store for her enemies; Uncle and Zuko run their own tea shop.","
    Director:
Giancarlo Volpe
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,068",25.0,
7321, Élite,(2018– ),"
Crime, Drama, Thriller            ",8.2,"
The Columbia scholarship winner is announced. Nadia makes a momentous decision. Samuel's concern about Carla causes issues between him and Valerio.","
    Director:
Jorge Torregrossa
| 
    Stars:
Itzan Escamilla, 
Miguel Bernardeau, 
Álvaro Rico, 
Arón Piper
",943,50.0,
1614,Ergo Proxy,(2006),"
Animation, Action, Adventure            ",8.0,"
In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.","
            
    Stars:
Kôji Yusa, 
Akiko Yajima, 
Rachel Hirschfeld, 
Liam O'Brien
","13,098",25.0,
4949,Bad Papa,(2018– ),"
Drama, Family            ",7.4,"
Yoo Ji Cheol used to be a top boxer. After hitting rock bottom, he decides to gain control of his life again through mixed martial arts.","
            
    Stars:
Lee Da-wit, 
Jang Hyuk, 
Kim Jaekyung, 
Man-sik Jeong
",101,35.0,
9344, The Drew Barrymore Show,(2020– ),"
Talk-Show            ",,"
""Cobra Kai"" star Ralph Macchio will stops by to be chat. Actress Jenna Ortega on an her uplifting book, ""It's All Love."" Then, in Beauty in A Box, Drew will surprises a viewer at home who ...                See full summary »
","
    Director:
Adam Heydt
| 
    Stars:
Drew Barrymore, 
Ralph Macchio, 
Jenna Ortega, 
Regé-Jean Page
",,44.0,
562,The A-Team,(2010),"
Action, Adventure, Thriller            ",6.7,"
A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","
    Director:
Joe Carnahan
| 
    Stars:
Liam Neeson, 
Bradley Cooper, 
Sharlto Copley, 
Jessica Biel
","250,321",117.0,$77.22M
5922,W. Kamau Bell: Private School Negro,(2018 TV Special),"
Comedy            ",6.4,"
Activist and comedian W. Kamau Bell muses on parenting in the Trump era, ""free speech"" dustups, woke children's TV and his fear of going off the grid.","
    Director:
Shannon Hartman
| 
    Star:
W. Kamau Bell
",731,65.0,
8183, The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.1,"
Brida and Sigtrggr lead the Danes to Winchester, guided by the traitor Eardwulf. Haesten ambushes Uhtred's party and seizes valuable captives.","
    Director:
Edward Bazalgette
| 
    Stars:
Millie Brady, 
Adrian Schiller, 
Emily Cox, 
Jamie Blackley
","1,854",52.0,
1962,Baekilui Nanggoonnim,(2018),"
Action, Comedy, History            ",7.7,"
Lee Yul falls off a cliff and nearly dies in an attempted assassination. He loses his memory and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.","
            
    Stars:
Kyung-soo Do, 
Nam Ji-Hyun, 
Jo Sung-ha, 
Jo Han-chul
","1,328",75.0,
5101,Identical,(2011),"
Thriller            ",3.5,"
Identical twins are born, one is good and one is evil. They need each other to exist, but they deeply resent the other's existence. They both fall in love with the same woman, creating a love triangle that leads to murder.","
    Directors:
Daniel Bollag, 
Seo Mutarevic
| 
    Stars:
Jonathan Togo, 
Emily Baldoni, 
Aaron Refvem, 
Meredith Zinner
",321,80.0,
8953, Sky Rojo,(2021– ),"
Action, Adventure, Crime            ",6.9,"
The trio hides out in a place that seems perfect - until it suddenly isn't. Coral gets shocking news. Romeo's men follow Coral's cellphone signal.","
    Directors:
Eduardo Chapero-Jackson, 
Jesús Colmenar, 
Óscar Pedraza, 
Javier Quintas, 
David Victori
| 
    Stars:
Verónica Sánchez, 
Miguel Ángel Silvestre, 
Asier Etxeandia, 
Lali Espósito
",305,26.0,
3153,"Bikram: Yogi, Guru, Predator",(2019),"
Documentary, Crime            ",6.7,"
Tracing from his rise in the 1970s to his disgrace in accusations of rape and sexual harassment in more recent years.","
    Director:
Eva Orner
| 
    Stars:
Larissa Anderson, 
Francesca Asumah, 
Sarah Baughn, 
Bikram Choudhury
","6,232",86.0,
6634, Johnny Test,(2005– ),"
Animation, Action, Adventure            ",7.6,"
Johnny's getting whupped by Sissy in Dodgeball, so in exchange for testing a ""Dance-a-tron"" (automatic thin-exoskeletal-dance machine) the girls give Johnny a bionic arm. / Johnny and Dukey...                See full summary »
","
    Director:
Chris Savino
| 
    Stars:
James Arnold Taylor, 
Louis Chirillo, 
Brittney Wilson, 
Maryke Hendrikse
",46,21.0,
676,Hollywood,(2020),"
Drama            ",7.5,"
A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.","
            
    Stars:
David Corenswet, 
Darren Criss, 
Laura Harrier, 
Joe Mantello
","32,278",347.0,
9223, The Drew Barrymore Show,(2020– ),"
Talk-Show            ",,"
Soccer Star Megan Rapinoe on your her new book ""One Life."" Plus, Megan's mom, Denise Rapinoe aka ""Mammers"" will joins in on the fun. ""The Crown"" stars Emma Corrin and Josh O'Connor will ...                See full summary »
","
            
    Stars:
Drew Barrymore, 
Megan Rapinoe, 
Emma Corrin, 
Josh O'Connor
",,43.0,
5307,Battle: Freestyle,(2021),"
Drama, Music, Romance            ",,"
Amalie's dance crew advances to the global finals in France. Torn between the love of Mikael, the longing for her absent mother, and her fire for dance, Amalie must choose. Who is she to become?","
    Director:
Ingvild Søderlind
| 
    Stars:
Lisa Teige, 
Christine Grace Szarko, 
Fabian Svegaard Tapia, 
Bao Andre Nguyen
",,,
4665,Squid Game,(2021– ),"
Drama, Mystery, Thriller            ",,"
Round Six depicts a story of people who decide to become the players of a mysterious survival game that has a whopping 40-million-dollar prize at stake.","
            
    Stars:
Jung-jae Lee, 
Hae-soo Park, 
Geoffrey Giuliano
",,,
7085, Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.3,"
In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future.","
    Director:
Baran bo Odar
| 
    Stars:
Lisa Vicari, 
Andreas Pietschmann, 
Louis Hofmann, 
Dietrich Hollinderbäumer
","10,274",56.0,
2906,Loev,(2015),"
Drama, Romance            ",5.8,"
A weekend trip between friends takes a sudden turn, making them each question what love is and what it means to them.","
    Director:
Sudhanshu Saria
| 
    Stars:
Dhruv Ganesh, 
Siddharth Menon, 
Shiv Panditt, 
Dixit
","2,491",92.0,
7725, Scams,(2019– ),"
Action, Crime, Drama            ",,"
Add a Plot
","
            
    Stars:
Shôdai Fukuyama, 
Asuka Hanamura, 
Tomoya Maeno, 
Naomi Nishida
",,,
450,The Dirt,(2019),"
Biography, Comedy, Drama            ",7.0,"
Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.","
    Director:
Jeff Tremaine
| 
    Stars:
Douglas Booth, 
Iwan Rheon, 
Machine Gun Kelly, 
Daniel Webber
","43,022",107.0,
3950,Astronomy Club,(2019),"
Comedy            ",7.1,"
Comedy to discuss real-world topics. Exploring an array of topics ranging from pop culture and social issues to the black experience.","
            
    Stars:
Jonathan Braylock, 
Ray Cordova, 
James III, 
Caroline Martin
",527,20.0,
7393, Tiny Pretty Things,(2020– ),"
Drama, Mystery, Thriller            ",7.0,"
Neveah urges the troupe to rise up against Ramon, while June battles her mother for emancipation. Bette tries a new tactic to score pills.","
    Director:
Joanna Kerns
| 
    Stars:
Brennan Clost, 
Barton Cowperthwaite, 
Bayardo De Murguia, 
Damon J. Gillespie
",148,,
5370,Aziz Ansari: Buried Alive,(2013 TV Special),"
Comedy            ",7.3,"
Aziz Ansari focuses his unique viewpoint on pending adulthood, babies, marriage and love in the modern era.","
    Directors:
Will Lovelace, 
Dylan Southern
| 
    Star:
Aziz Ansari
","3,775",80.0,
3698,Living in Bondage: Breaking Free,(2019),"
Drama, Fantasy            ",5.8,"
Mentored by a mysterious tycoon, an ambitious young man faces a crisis when his rise to power draws him deep into the occult.","
    Director:
Ramsey Nouah
| 
    Stars:
Swanky J.K.A., 
Ramsey Nouah, 
Kenneth Okonkwo, 
Enyinna Nwigwe
",76,150.0,
8195, Hit and Run,(2021– ),"
Action, Crime, Drama            ",,"
Add a Plot
","
    Director:
Mike Barker
| 
    Stars:
Lior Raz, 
Michael Aronov, 
Kaelen Ohm, 
Alex Morf
",,,
3981,Poeslief: een ode aan de kat,(2021),"
Documentary            ",5.1,"
Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.","
            
    Star:
Nicolette Kluijver
",262,60.0,
183,Good on Paper,(2021),"
Comedy, Romance            ",5.6,"
After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.","
    Director:
Kimmy Gatewood
| 
    Stars:
Iliza Shlesinger, 
Britney Young, 
Christopher Nicholas Smith, 
Adam Lustick
","8,099",92.0,
7831, Inventing Anna,(2021– ),"
Drama            ",,"
Add a Plot
","
            
    Stars:
Laverne Cox, 
Julia Garner, 
Anna Chlumsky, 
Caitlin FitzGerald
",,,
5032,Marc Maron: Too Real,(2017 TV Special),"
Comedy            ",7.2,"
Comedian Marc Maron riffs on topics including Donald Trump, a Rolling Stones concert, and the hat-buying experience.","
    Director:
Lynn Shelton
| 
    Star:
Marc Maron
","1,782",70.0,
